,Alpha_3,Country,Surname_Count,Forename_Count
0,ABW,aruba,8303.0,7738.0
1,AFG,afghanistan,152799.0,161028.0
2,AGO,angola,35129.0,26519.0
3,AIA,anguilla,1490.0,4658.0
4,ALA,åland-islands,,
5,ALB,albania,49717.0,121969.0
6,AND,andorra,8400.0,3868.0
7,ARE,united-arab-emirates,227461.0,146478.0
8,ARG,argentina,462314.0,127710.0
9,ARM,armenia,50899.0,37710.0
10,ASM,american-samoa,8140.0,9414.0
11,ATA,antarctica,,
12,ATF,french-southern-territories,,
13,ATG,antigua-and-barbuda,5844.0,10864.0
14,AUS,australia,448568.0,163223.0
15,AUT,austria,231499.0,59810.0
16,AZE,azerbaijan,116860.0,107183.0
17,BDI,burundi,8340.0,6435.0
18,BEL,belgium,510024.0,131904.0
19,BEN,benin,238835.0,271310.0
20,BES,"bonaire,-sint-eustatius-and-saba",,
21,BFA,burkina-faso,99082.0,361536.0
22,BGD,bangladesh,67144.0,90257.0
23,BGR,bulgaria,201622.0,61594.0
24,BHR,bahrain,28298.0,20835.0
25,BHS,bahamas,12764.0,17834.0
26,BLM,saint-barthélemy,,
27,BLR,belarus,289279.0,66243.0
28,BLZ,belize,9575.0,23961.0
29,BMU,bermuda,7576.0,6496.0
30,BOL,bolivia,77787.0,29289.0
31,BRA,brazil,5218700.0,2224359.0
32,BRB,barbados,9826.0,13435.0
33,BRN,brunei-darussalam,,
34,BTN,bhutan,5105.0,19217.0
35,BVT,bouvet-island,,
36,BWA,botswana,51416.0,53004.0
37,CAF,central-african-republic,7106.0,3950.0
38,CAN,canada,858996.0,327846.0
39,CCK,cocos-(keeling)-islands,,
40,CHE,switzerland,360842.0,102888.0
41,CHL,chile,262810.0,124794.0
42,CHN,china,137913.0,212037.0
43,CMR,cameroon,629462.0,354102.0
44,COG,congo,89300.0,121722.0
45,COK,cook-islands,3149.0,4770.0
46,COL,colombia,111939.0,291392.0
47,COM,comoros,2447.0,3166.0
48,CPV,cabo-verde,,
49,CRI,costa-rica,32583.0,78607.0
50,CUB,cuba,31077.0,28270.0
51,CUW,curaçao,,4051.0
52,CXR,christmas-island,,
53,CYM,cayman-islands,7945.0,8175.0
54,CYP,cyprus,41950.0,16720.0
55,CZE,czechia,299113.0,34230.0
56,DEU,germany,1040775.0,254683.0
57,DJI,djibouti,5091.0,5343.0
58,DMA,dominica,3093.0,5167.0
59,DNK,denmark,167753.0,68092.0
60,DOM,dominican-republic,121423.0,83726.0
61,DZA,algeria,345312.0,91429.0
62,ECU,ecuador,148089.0,82447.0
63,EGY,egypt,224015.0,97146.0
64,ERI,eritrea,3446.0,3842.0
65,ESH,western-sahara,,
66,ESP,spain,417266.0,129584.0
67,EST,estonia,80008.0,21733.0
68,ETH,ethiopia,84333.0,82778.0
69,FIN,finland,170744.0,64189.0
70,FJI,fiji,12509.0,10620.0
71,FLK,falkland-islands-(malvinas),,
72,FRA,france,1101540.0,303744.0
73,FRO,faroe-islands,3642.0,5025.0
74,FSM,"micronesia,-federated-states-of",,
75,GAB,gabon,25152.0,19450.0
76,GEO,georgia,102509.0,65295.0
77,GGY,guernsey,8089.0,2190.0
78,GHA,ghana,60657.0,42663.0
79,GIB,gibraltar,4719.0,2590.0
80,GIN,guinea,7967.0,16651.0
81,GLP,guadeloupe,,
82,GMB,gambia,3860.0,4283.0
83,GNB,guinea-bissau,1365.0,1670.0
84,GNQ,equatorial-guinea,4181.0,3189.0
85,GRC,greece,281349.0,68590.0
86,GRD,grenada,6804.0,14479.0
87,GRL,greenland,3074.0,3210.0
88,GTM,guatemala,30033.0,36222.0
89,GUF,french-guiana,,
90,GUM,guam,10639.0,8229.0
91,GUY,guyana,28594.0,77235.0
92,HKG,hong-kong,50096.0,55272.0
93,HMD,heard-island-and-mcdonald-islands,,
94,HND,honduras,20493.0,87077.0
95,HRV,croatia,115334.0,28656.0
96,HTI,haiti,53529.0,132159.0
97,HUN,hungary,144066.0,25320.0
98,IDN,indonesia,939650.0,1684512.0
99,IMN,isle-of-man,10973.0,2505.0
100,IND,india,3955695.0,13587032.0
101,IOT,british-indian-ocean-territory,,
102,IRL,ireland,174203.0,49405.0
103,IRN,iran,601567.0,170245.0
104,IRQ,iraq,69200.0,52977.0
105,ISL,iceland,43026.0,27226.0
106,ISR,israel,388497.0,119229.0
107,ITA,italy,368792.0,210390.0
108,JAM,jamaica,45470.0,68293.0
109,JEY,jersey,17100.0,4981.0
110,JOR,jordan,51032.0,28262.0
111,JPN,japan,121143.0,189494.0
112,KAZ,kazakhstan,360433.0,119892.0
113,KEN,kenya,248878.0,204119.0
114,KGZ,kyrgyzstan,187627.0,119243.0
115,KHM,cambodia,31075.0,204935.0
116,KIR,kiribati,2810.0,3640.0
117,KNA,saint-kitts-and-nevis,4430.0,9758.0
118,KOR,south-korea,30165.0,79102.0
119,KWT,kuwait,75342.0,39349.0
120,LAO,laos,7624.0,7118.0
121,LBN,lebanon,75423.0,49392.0
122,LBR,liberia,117933.0,112294.0
123,LBY,libya,22826.0,9835.0
124,LCA,saint-lucia,11668.0,26218.0
125,LIE,liechtenstein,5144.0,3205.0
126,LKA,sri-lanka,47018.0,47100.0
127,LSO,lesotho,43597.0,124331.0
128,LTU,lithuania,108037.0,17856.0
129,LUX,luxembourg,83952.0,15549.0
130,LVA,latvia,138302.0,23046.0
131,MAC,macao,,
132,MAF,saint-martin-(french-part),,
133,MAR,morocco,211266.0,59435.0
134,MCO,monaco,16628.0,6300.0
135,MDA,moldova,127313.0,26176.0
136,MDG,madagascar,33930.0,24107.0
137,MDV,maldives,19053.0,16639.0
138,MEX,mexico,221551.0,396616.0
139,MHL,marshall-islands,4334.0,16004.0
140,MKD,north-macedonia,58581.0,35321.0
141,MLI,mali,11848.0,22052.0
142,MLT,malta,12163.0,7907.0
143,MMR,myanmar,6920.0,10577.0
144,MNE,montenegro,21856.0,11263.0
145,MNG,mongolia,39721.0,40765.0
146,MNP,northern-mariana-islands,2387.0,4878.0
147,MOZ,mozambique,21111.0,15157.0
148,MRT,mauritania,86024.0,72188.0
149,MSR,montserrat,1070.0,2205.0
150,MTQ,martinique,,
151,MUS,mauritius,35878.0,49150.0
152,MWI,malawi,56675.0,48819.0
153,MYS,malaysia,981166.0,1115332.0
154,MYT,mayotte,,
155,NAM,namibia,61231.0,39042.0
156,NCL,new-caledonia,20406.0,7839.0
157,NER,niger,321125.0,222783.0
158,NFK,norfolk-island,488.0,687.0
159,NGA,nigeria,1518543.0,1042341.0
160,NIC,nicaragua,19984.0,94970.0
161,NIU,niue,379.0,531.0
162,NLD,netherlands,529925.0,134270.0
163,NOR,norway,271387.0,101414.0
164,NPL,nepal,49980.0,275770.0
165,NRU,nauru,650.0,5324.0
166,NZL,new-zealand,110608.0,60698.0
167,OMN,oman,34767.0,31225.0
168,PAK,pakistan,564810.0,698256.0
169,PAN,panama,36188.0,120395.0
170,PCN,pitcairn,,
171,PER,peru,128931.0,298602.0
172,PHL,philippines,766770.0,1681741.0
173,PLW,palau,1160.0,1206.0
174,PNG,papua-new-guinea,272569.0,529613.0
175,POL,poland,408386.0,29918.0
176,PRI,puerto-rico,25215.0,31550.0
177,PRK,north-korea,,
178,PRT,portugal,74805.0,40825.0
179,PRY,paraguay,34493.0,43985.0
180,PSE,"palestine,-state-of",,
181,PYF,french-polynesia,16360.0,9426.0
182,QAT,qatar,154650.0,87657.0
183,REU,réunion,,
184,ROU,romania,153732.0,127624.0
185,RWA,rwanda,17997.0,12847.0
186,SAU,saudi-arabia,170253.0,77115.0
187,SDN,sudan,43521.0,29845.0
188,SEN,senegal,34829.0,93614.0
189,SGP,singapore,138697.0,111984.0
190,SGS,south-georgia-and-the-south-sandwich-islands,,
191,SHN,"saint-helena,-ascension-and-tristan-da-cunha",,
192,SJM,svalbard-and-jan-mayen,,
193,SLB,solomon-islands,56778.0,28092.0
194,SLE,sierra-leone,5009.0,4626.0
195,SLV,el-salvador,21880.0,43650.0
196,SMR,san-marino,3136.0,2033.0
197,SOM,somalia,31358.0,20168.0
198,SPM,saint-pierre-and-miquelon,1115.0,941.0
199,SRB,serbia,79901.0,25905.0
200,SSD,south-sudan,10044.0,9630.0
201,STP,sao-tome-and-principe,,
202,SUR,suriname,21330.0,14815.0
203,SVK,slovakia,236104.0,27793.0
204,SVN,slovenia,43412.0,11787.0
205,SWE,sweden,850341.0,201704.0
206,SXM,sint-maarten-(dutch-part),,
207,SYC,seychelles,4547.0,5432.0
208,SYR,syria,54406.0,22949.0
209,TCA,turks-and-caicos-islands,2148.0,5605.0
210,TCD,chad,37502.0,49073.0
211,TGO,togo,29889.0,24240.0
212,THA,thailand,2435104.0,1067011.0
213,TJK,tajikistan,36868.0,21549.0
214,TKL,tokelau,,
215,TKM,turkmenistan,31048.0,10783.0
216,TLS,timor-leste,,
217,TON,tonga,2074.0,2724.0
218,TTO,trinidad-and-tobago,92864.0,104902.0
219,TUN,tunisia,59404.0,34826.0
220,TUV,tuvalu,713.0,742.0
221,TWN,taiwan,121800.0,252525.0
222,TZA,tanzania,203809.0,155624.0
223,UGA,uganda,629951.0,346435.0
224,UKR,ukraine,707685.0,70414.0
225,UMI,united-states-minor-outlying-islands,,
226,URY,uruguay,60662.0,38448.0
227,USA,united-states,5095698.0,2754772.0
228,UZB,uzbekistan,146286.0,46240.0
229,VAT,holy-see-(vatican-city-state),,
230,VCT,saint-vincent-and-the-grenadines,7293.0,25219.0
231,VEN,venezuela,173776.0,694894.0
232,VGB,"virgin-islands,-british",,
233,VIR,"virgin-islands,-u.s.",,
234,VNM,vietnam,24113.0,31538.0
235,VUT,vanuatu,6569.0,5581.0
236,WLF,wallis-and-futuna,961.0,850.0
237,WSM,samoa,2747.0,3527.0
238,YEM,yemen,144527.0,40756.0
239,ZAF,south-africa,821426.0,1562537.0
240,ZMB,zambia,100709.0,181339.0
241,ZWE,zimbabwe,251448.0,320814.0
242,BIH,bosnia,38298.0,20429.0
243,RUS,russia,1424981.0,578665.0
244,TUR,turkey,404669.0,223001.0
245,CIV,ivory-coast,180823.0,444260.0
246,GBR,england,1227447.0,522241.0
247,COD,dr-congo,608760.0,405409.0
248,SWZ,swaziland,5302.0,8625.0
